dataset,horizon,model,type,RMSE,MAE,R2,MAPE,time_seconds,status
Wall_Plug_2_Sensor_power,H1,KNN,ML,0.9303,0.4511,0.864,77.5929,81.55,SUCCESS
Wall_Plug_2_Sensor_power,H1,CatBoost,ML,1.0815,0.2761,0.8162,41.5478,7.55,SUCCESS
Wall_Plug_2_Sensor_power,H1,LightGBM,ML,0.7603,0.128,0.9092,15.8047,3.1,SUCCESS
Wall_Plug_2_Sensor_power,H1,XGBoost,ML,0.6283,0.2356,0.938,39.4778,5.74,SUCCESS
Wall_Plug_2_Sensor_power,H1,NGBoost,ML,1.153,0.0749,0.7911,5.1698,976.03,SUCCESS
Wall_Plug_2_Sensor_power,H1,Prophet,ML,4.203,3.4929,-1.776,649.2906,47.44,SUCCESS
Wall_Plug_2_Sensor_power,H1,SARIMAX,ML,2.6104,0.671,-0.0708,99.8907,4.18,SUCCESS
Wall_Plug_2_Sensor_power,H1,PatchTST,ML,0.9709,0.1382,0.8519,17.2233,41.58,SUCCESS
Wall_Plug_2_Sensor_power,H1,TFT,ML,1.0169,0.1058,0.8375,10.3741,27.31,SUCCESS
Wall_Plug_2_Sensor_power,H5,Naive,ML,2.7514,1.3715,-0.1896,237.9352,0.06,SUCCESS
Wall_Plug_2_Sensor_power,H5,Ridge,ML,0.934,0.0534,0.8629,4.6038,0.08,SUCCESS
Wall_Plug_2_Sensor_power,H5,ElasticNet,ML,0.9423,0.0619,0.8605,5.7895,0.71,SUCCESS
Wall_Plug_2_Sensor_power,H5,RandomForest,ML,1.01,0.14,0.8397,16.8056,63.47,SUCCESS
Wall_Plug_2_Sensor_power,H5,ExtraTrees,ML,0.9683,0.1169,0.8527,14.0642,17.69,SUCCESS
Wall_Plug_2_Sensor_power,H5,KNN,ML,1.5567,0.4897,0.6192,79.9931,81.57,SUCCESS
Wall_Plug_2_Sensor_power,H5,CatBoost,ML,1.4406,0.3279,0.6739,49.3236,7.92,SUCCESS
Wall_Plug_2_Sensor_power,H5,LightGBM,ML,1.159,0.1948,0.7889,26.7347,3.15,SUCCESS
Wall_Plug_2_Sensor_power,H5,XGBoost,ML,1.2239,0.2714,0.7646,39.9813,5.87,SUCCESS
Wall_Plug_2_Sensor_power,H5,NGBoost,ML,1.2536,0.1123,0.7531,9.4624,971.36,SUCCESS
Wall_Plug_2_Sensor_power,H5,Prophet,ML,4.293,3.5976,-1.8961,669.5184,53.92,SUCCESS
Wall_Plug_2_Sensor_power,H5,SARIMAX,ML,2.6104,0.671,-0.0708,99.8889,3.98,SUCCESS
Wall_Plug_2_Sensor_power,H5,PatchTST,ML,1.2483,0.1525,0.7551,17.2092,38.78,SUCCESS
Wall_Plug_2_Sensor_power,H5,TFT,ML,1.1548,0.1087,0.7904,10.2021,29.34,SUCCESS
Wall_Plug_2_Sensor_power,H12,Naive,ML,2.7843,1.4506,-0.2182,253.1592,0.08,SUCCESS
Wall_Plug_2_Sensor_power,H12,Ridge,ML,1.2967,0.1004,0.7358,9.737,0.08,SUCCESS
Wall_Plug_2_Sensor_power,H12,ElasticNet,ML,1.2816,0.0991,0.7419,9.653,0.81,SUCCESS
Wall_Plug_2_Sensor_power,H12,RandomForest,ML,1.3726,0.1972,0.704,25.3637,63.08,SUCCESS
Wall_Plug_2_Sensor_power,H12,ExtraTrees,ML,1.3537,0.1544,0.712,17.5088,17.58,SUCCESS
Wall_Plug_2_Sensor_power,H12,KNN,ML,1.828,0.5114,0.4749,81.7388,81.52,SUCCESS
Wall_Plug_2_Sensor_power,H12,CatBoost,ML,1.7492,0.3258,0.5192,44.839,7.71,SUCCESS
Wall_Plug_2_Sensor_power,H12,LightGBM,ML,1.4207,0.2043,0.6828,29.316,3.22,SUCCESS
Wall_Plug_2_Sensor_power,H12,XGBoost,ML,1.4806,0.2999,0.6555,45.6276,6.01,SUCCESS
Wall_Plug_2_Sensor_power,H12,NGBoost,ML,1.3766,0.1164,0.7022,10.164,969.99,SUCCESS
Wall_Plug_2_Sensor_power,H12,Prophet,ML,4.3166,3.6249,-1.9281,674.798,48.08,SUCCESS
Wall_Plug_2_Sensor_power,H12,SARIMAX,ML,2.6104,0.671,-0.0708,99.8938,4.07,SUCCESS
Wall_Plug_2_Sensor_power,H12,PatchTST,ML,1.4499,0.1518,0.6696,16.0811,33.3,SUCCESS
Wall_Plug_2_Sensor_power,H12,TFT,ML,1.4929,0.1319,0.6498,10.8915,23.29,SUCCESS
WavePlug_UPS_Sensor_power,H1,Naive,ML,49.3988,29.002,-0.5248,46.1869,0.06,SUCCESS
WavePlug_UPS_Sensor_power,H1,Ridge,ML,4.2953,1.3402,0.9885,2.5463,0.08,SUCCESS
WavePlug_UPS_Sensor_power,H1,ElasticNet,ML,5.0171,1.577,0.9843,3.1563,2.23,SUCCESS
WavePlug_UPS_Sensor_power,H1,RandomForest,ML,5.6369,2.2068,0.9801,4.5511,50.39,SUCCESS
WavePlug_UPS_Sensor_power,H1,ExtraTrees,ML,4.3171,1.4974,0.9884,2.8542,16.72,SUCCESS
WavePlug_UPS_Sensor_power,H1,KNN,ML,12.5534,7.1762,0.9015,17.5269,84.36,SUCCESS
WavePlug_UPS_Sensor_power,H1,CatBoost,ML,9.7692,3.6667,0.9404,5.0557,7.5,SUCCESS
WavePlug_UPS_Sensor_power,H1,LightGBM,ML,6.1869,2.5234,0.9761,3.686,3.3,SUCCESS
WavePlug_UPS_Sensor_power,H1,XGBoost,ML,8.1618,3.0286,0.9584,5.0636,6.37,SUCCESS
WavePlug_UPS_Sensor_power,H1,NGBoost,ML,8.5328,3.1421,0.9545,5.1635,772.74,SUCCESS
WavePlug_UPS_Sensor_power,H1,Prophet,ML,46.5227,37.6693,-0.3524,161.7592,55.65,SUCCESS
WavePlug_UPS_Sensor_power,H1,SARIMAX,ML,56.621,40.0498,-1.0033,99.7804,5.74,SUCCESS
WavePlug_UPS_Sensor_power,H1,PatchTST,ML,7.2446,3.0607,0.9672,6.7552,30.63,SUCCESS
WavePlug_UPS_Sensor_power,H1,TFT,ML,5.9562,2.3004,0.9778,5.957,32.15,SUCCESS
WavePlug_UPS_Sensor_power,H5,Naive,ML,49.3793,28.9733,-0.5236,46.067,0.06,SUCCESS
WavePlug_UPS_Sensor_power,H5,Ridge,ML,7.7471,2.2299,0.9625,5.036,0.08,SUCCESS
WavePlug_UPS_Sensor_power,H5,ElasticNet,ML,8.1189,2.3924,0.9588,5.4625,2.4,SUCCESS
WavePlug_UPS_Sensor_power,H5,RandomForest,ML,12.8354,5.4305,0.8971,14.1787,50.19,SUCCESS
WavePlug_UPS_Sensor_power,H5,ExtraTrees,ML,8.6755,3.332,0.953,7.4523,16.76,SUCCESS
WavePlug_UPS_Sensor_power,H5,KNN,ML,17.7873,9.3697,0.8023,21.4247,84.2,SUCCESS
WavePlug_UPS_Sensor_power,H5,CatBoost,ML,16.837,6.2209,0.8229,9.8678,7.6,SUCCESS
WavePlug_UPS_Sensor_power,H5,LightGBM,ML,18.3935,7.1223,0.7886,11.0929,3.28,SUCCESS
WavePlug_UPS_Sensor_power,H5,XGBoost,ML,18.2869,7.2209,0.791,12.7221,6.63,SUCCESS
WavePlug_UPS_Sensor_power,H5,NGBoost,ML,12.1978,4.4604,0.907,8.9366,773.5,SUCCESS
WavePlug_UPS_Sensor_power,H5,Prophet,ML,46.5968,37.803,-0.3567,163.0838,62.98,SUCCESS
WavePlug_UPS_Sensor_power,H5,SARIMAX,ML,56.6209,40.0498,-1.0033,99.7801,5.38,SUCCESS
WavePlug_UPS_Sensor_power,H5,PatchTST,ML,9.679,3.9317,0.9415,8.5804,41.69,SUCCESS
WavePlug_UPS_Sensor_power,H5,TFT,ML,10.7443,4.2798,0.9279,8.1002,32.18,SUCCESS
WavePlug_UPS_Sensor_power,H12,Naive,ML,49.2526,28.7918,-0.5158,45.3328,0.07,SUCCESS
WavePlug_UPS_Sensor_power,H12,Ridge,ML,11.2387,3.6493,0.9211,9.3761,0.08,SUCCESS
WavePlug_UPS_Sensor_power,H12,ElasticNet,ML,11.4902,3.7741,0.9175,9.6893,2.51,SUCCESS
WavePlug_UPS_Sensor_power,H12,RandomForest,ML,22.685,8.8685,0.6784,20.8759,49.9,SUCCESS
WavePlug_UPS_Sensor_power,H12,ExtraTrees,ML,13.5593,5.5519,0.8851,13.0226,16.91,SUCCESS
WavePlug_UPS_Sensor_power,H12,KNN,ML,21.8455,11.3316,0.7018,25.5034,84.26,SUCCESS
WavePlug_UPS_Sensor_power,H12,CatBoost,ML,21.1372,9.1767,0.7208,18.242,7.71,SUCCESS
WavePlug_UPS_Sensor_power,H12,LightGBM,ML,26.273,11.3536,0.5687,22.0967,3.35,SUCCESS
WavePlug_UPS_Sensor_power,H12,XGBoost,ML,25.2646,10.6818,0.6011,23.9898,6.81,SUCCESS
WavePlug_UPS_Sensor_power,H12,NGBoost,ML,15.7684,6.2097,0.8446,13.5527,773.43,SUCCESS
WavePlug_UPS_Sensor_power,H12,Prophet,ML,46.7439,38.06,-0.3653,165.6157,70.92,SUCCESS
WavePlug_UPS_Sensor_power,H12,SARIMAX,ML,56.6209,40.0496,-1.0033,99.7777,5.33,SUCCESS
WavePlug_UPS_Sensor_power,H12,PatchTST,ML,12.9468,5.0391,0.8953,11.6111,41.72,SUCCESS
WavePlug_UPS_Sensor_power,H12,TFT,ML,13.4131,5.6165,0.8876,11.4546,22.38,SUCCESS
ZWave5_network_switch_Sensor_power,H1,Naive,ML,0.1099,0.0383,-0.1152,1.0662,0.05,SUCCESS
ZWave5_network_switch_Sensor_power,H1,Ridge,ML,0.022,0.0031,0.9552,0.0891,0.07,SUCCESS
ZWave5_network_switch_Sensor_power,H1,ElasticNet,ML,0.0552,0.0347,0.719,1.0109,0.18,SUCCESS
ZWave5_network_switch_Sensor_power,H1,RandomForest,ML,0.0223,0.0031,0.9539,0.0898,19.49,SUCCESS
ZWave5_network_switch_Sensor_power,H1,ExtraTrees,ML,0.021,0.0029,0.9594,0.0855,15.4,SUCCESS
ZWave5_network_switch_Sensor_power,H1,KNN,ML,0.0339,0.0083,0.8939,0.2401,55.43,SUCCESS
ZWave5_network_switch_Sensor_power,H1,CatBoost,ML,0.0203,0.0027,0.962,0.0782,6.21,SUCCESS
ZWave5_network_switch_Sensor_power,H1,LightGBM,ML,0.0208,0.003,0.9599,0.0867,2.48,SUCCESS
ZWave5_network_switch_Sensor_power,H1,XGBoost,ML,0.0247,0.0042,0.9435,0.1235,4.61,SUCCESS
ZWave5_network_switch_Sensor_power,H1,NGBoost,ML,0.0206,0.0027,0.961,0.0772,273.4,SUCCESS
ZWave5_network_switch_Sensor_power,H1,Prophet,ML,0.1075,0.064,-0.0673,1.8545,45.27,SUCCESS
ZWave5_network_switch_Sensor_power,H1,SARIMAX,ML,2.433,2.2762,-545.5236,68.1725,4.86,SUCCESS
ZWave5_network_switch_Sensor_power,H1,PatchTST,ML,0.0325,0.0093,0.9022,0.2713,51.57,SUCCESS
ZWave5_network_switch_Sensor_power,H1,TFT,ML,0.0312,0.0107,0.9102,0.3132,30.67,SUCCESS
ZWave5_network_switch_Sensor_power,H5,Naive,ML,0.1099,0.0383,-0.1152,1.0662,0.06,SUCCESS
ZWave5_network_switch_Sensor_power,H5,Ridge,ML,0.0448,0.012,0.8146,0.3482,0.08,SUCCESS
ZWave5_network_switch_Sensor_power,H5,ElasticNet,ML,0.0685,0.042,0.5663,1.2217,0.18,SUCCESS
ZWave5_network_switch_Sensor_power,H5,RandomForest,ML,0.0445,0.0107,0.8168,0.3098,18.94,SUCCESS
ZWave5_network_switch_Sensor_power,H5,ExtraTrees,ML,0.0427,0.0109,0.8313,0.3151,14.77,SUCCESS
ZWave5_network_switch_Sensor_power,H5,KNN,ML,0.0708,0.0194,0.5368,0.5669,55.37,SUCCESS
ZWave5_network_switch_Sensor_power,H5,CatBoost,ML,0.0434,0.0124,0.8264,0.3605,6.35,SUCCESS
ZWave5_network_switch_Sensor_power,H5,LightGBM,ML,0.0463,0.0132,0.8024,0.3828,2.67,SUCCESS
ZWave5_network_switch_Sensor_power,H5,XGBoost,ML,0.0474,0.0139,0.7926,0.4058,4.97,SUCCESS
ZWave5_network_switch_Sensor_power,H5,NGBoost,ML,0.0433,0.0109,0.8268,0.3171,273.06,SUCCESS
ZWave5_network_switch_Sensor_power,H5,Prophet,ML,0.1075,0.062,-0.0668,1.7946,42.68,SUCCESS
ZWave5_network_switch_Sensor_power,H5,SARIMAX,ML,2.433,2.2763,-545.5284,68.1729,5.38,SUCCESS
ZWave5_network_switch_Sensor_power,H5,PatchTST,ML,0.0471,0.0141,0.7953,0.4105,57.15,SUCCESS
ZWave5_network_switch_Sensor_power,H5,TFT,ML,0.0487,0.0145,0.7809,0.4207,30.78,SUCCESS
ZWave5_network_switch_Sensor_power,H12,Naive,ML,0.1099,0.0383,-0.1152,1.0662,0.06,SUCCESS
ZWave5_network_switch_Sensor_power,H12,Ridge,ML,0.0644,0.023,0.6175,0.6635,0.09,SUCCESS
ZWave5_network_switch_Sensor_power,H12,ElasticNet,ML,0.0841,0.052,0.3475,1.5115,0.17,SUCCESS
ZWave5_network_switch_Sensor_power,H12,RandomForest,ML,0.0651,0.022,0.6088,0.6382,18.72,SUCCESS
ZWave5_network_switch_Sensor_power,H12,ExtraTrees,ML,0.0634,0.0224,0.6287,0.6498,14.3,SUCCESS
ZWave5_network_switch_Sensor_power,H12,KNN,ML,0.0916,0.0292,0.2251,0.8482,55.39,SUCCESS
ZWave5_network_switch_Sensor_power,H12,CatBoost,ML,0.0649,0.0243,0.6112,0.7056,6.6,SUCCESS
ZWave5_network_switch_Sensor_power,H12,LightGBM,ML,0.0677,0.0263,0.5768,0.7667,2.69,SUCCESS
ZWave5_network_switch_Sensor_power,H12,XGBoost,ML,0.0711,0.0312,0.5334,0.9144,5.22,SUCCESS
ZWave5_network_switch_Sensor_power,H12,NGBoost,ML,0.0628,0.0223,0.6361,0.6458,273.38,SUCCESS
ZWave5_network_switch_Sensor_power,H12,Prophet,ML,0.1075,0.0617,-0.067,1.7851,40.28,SUCCESS
ZWave5_network_switch_Sensor_power,H12,SARIMAX,ML,2.433,2.2763,-545.5281,68.173,5.28,SUCCESS
ZWave5_network_switch_Sensor_power,H12,PatchTST,ML,0.0653,0.022,0.6065,0.6373,48.88,SUCCESS
ZWave5_network_switch_Sensor_power,H12,TFT,ML,0.0649,0.0217,0.611,0.6251,25.65,SUCCESS
ZWave7_bookcase_Sensor_power,H1,Naive,ML,0.001,0.0,-0.0001,100.0,0.05,SUCCESS
ZWave7_bookcase_Sensor_power,H1,Ridge,ML,0.0012,0.0001,-0.3695,76.1915,0.07,SUCCESS
ZWave7_bookcase_Sensor_power,H1,ElasticNet,ML,0.001,0.0,-0.0,99.991,0.11,SUCCESS
ZWave7_bookcase_Sensor_power,H1,RandomForest,ML,0.001,0.0,0.0573,83.8462,7.48,SUCCESS
ZWave7_bookcase_Sensor_power,H1,ExtraTrees,ML,0.0011,0.0,-0.2585,77.461,10.94,SUCCESS
ZWave7_bookcase_Sensor_power,H1,KNN,ML,0.001,0.0,0.0584,73.8462,55.36,SUCCESS
ZWave7_bookcase_Sensor_power,H1,CatBoost,ML,0.001,0.0,0.0341,87.8422,5.19,SUCCESS
ZWave7_bookcase_Sensor_power,H1,LightGBM,ML,0.0013,0.0,-0.6239,84.2748,1.32,SUCCESS
ZWave7_bookcase_Sensor_power,H1,XGBoost,ML,0.001,0.0,-0.0329,89.0073,2.71,SUCCESS
ZWave7_bookcase_Sensor_power,H1,NGBoost,ML,0.001,0.0,0.0709,86.4624,173.44,SUCCESS
ZWave7_bookcase_Sensor_power,H1,Prophet,ML,0.001,0.0,-0.0003,99.9678,24.21,SUCCESS
ZWave7_bookcase_Sensor_power,H1,SARIMAX,ML,0.001,0.0,-0.0001,100.0,9.47,SUCCESS
ZWave7_bookcase_Sensor_power,H1,PatchTST,ML,0.001,0.0,0.0065,99.5774,24.01,SUCCESS
ZWave7_bookcase_Sensor_power,H1,TFT,ML,0.001,0.0,-0.0001,100.0003,27.1,SUCCESS
ZWave7_bookcase_Sensor_power,H5,Naive,ML,0.001,0.0,-0.0001,100.0,0.06,SUCCESS
ZWave7_bookcase_Sensor_power,H5,Ridge,ML,0.0012,0.0001,-0.496,98.4985,0.08,SUCCESS
ZWave7_bookcase_Sensor_power,H5,ElasticNet,ML,0.001,0.0,-0.0,99.991,0.12,SUCCESS
ZWave7_bookcase_Sensor_power,H5,RandomForest,ML,0.0011,0.0,-0.1728,99.8462,7.73,SUCCESS
ZWave7_bookcase_Sensor_power,H5,ExtraTrees,ML,0.0011,0.0,-0.1432,99.6153,10.34,SUCCESS
ZWave7_bookcase_Sensor_power,H5,KNN,ML,0.0011,0.0,-0.2771,100.0,55.4,SUCCESS
ZWave7_bookcase_Sensor_power,H5,CatBoost,ML,0.0011,0.0,-0.1896,99.9265,5.28,SUCCESS
ZWave7_bookcase_Sensor_power,H5,LightGBM,ML,0.0013,0.0001,-0.575,95.0872,1.36,SUCCESS
ZWave7_bookcase_Sensor_power,H5,XGBoost,ML,0.0012,0.0,-0.5194,99.7788,2.69,SUCCESS
ZWave7_bookcase_Sensor_power,H5,NGBoost,ML,0.0011,0.0,-0.2382,99.6199,171.51,SUCCESS
ZWave7_bookcase_Sensor_power,H5,Prophet,ML,0.001,0.0,-0.0006,99.981,24.72,SUCCESS
ZWave7_bookcase_Sensor_power,H5,SARIMAX,ML,0.001,0.0,-0.0001,100.0,9.49,SUCCESS
ZWave7_bookcase_Sensor_power,H5,PatchTST,ML,0.001,0.0,0.0052,99.6813,32.37,SUCCESS
ZWave7_bookcase_Sensor_power,H5,TFT,ML,0.001,0.0,0.001,99.9433,18.36,SUCCESS
ZWave7_bookcase_Sensor_power,H12,Naive,ML,0.001,0.0,-0.0001,100.0,0.06,SUCCESS
ZWave7_bookcase_Sensor_power,H12,Ridge,ML,0.0011,0.0001,-0.2446,94.6166,0.09,SUCCESS
ZWave7_bookcase_Sensor_power,H12,ElasticNet,ML,0.001,0.0,-0.0,99.991,0.11,SUCCESS
ZWave7_bookcase_Sensor_power,H12,RandomForest,ML,0.001,0.0,-0.0061,100.0,6.82,SUCCESS
ZWave7_bookcase_Sensor_power,H12,ExtraTrees,ML,0.0011,0.0,-0.1344,98.8462,6.62,SUCCESS
ZWave7_bookcase_Sensor_power,H12,KNN,ML,0.0011,0.0,-0.1293,100.0,55.39,SUCCESS
ZWave7_bookcase_Sensor_power,H12,CatBoost,ML,0.001,0.0,-0.0005,99.8938,5.3,SUCCESS
ZWave7_bookcase_Sensor_power,H12,LightGBM,ML,0.0012,0.0,-0.4232,108.4941,1.34,SUCCESS
ZWave7_bookcase_Sensor_power,H12,XGBoost,ML,0.001,0.0,-0.0028,99.9995,2.66,SUCCESS
ZWave7_bookcase_Sensor_power,H12,NGBoost,ML,0.001,0.0,-0.019,99.9617,173.16,SUCCESS
ZWave7_bookcase_Sensor_power,H12,Prophet,ML,0.001,0.0,-0.0003,99.9683,19.83,SUCCESS
ZWave7_bookcase_Sensor_power,H12,SARIMAX,ML,0.001,0.0,-0.0001,100.0,9.37,SUCCESS
ZWave7_bookcase_Sensor_power,H12,PatchTST,ML,0.001,0.0,0.0059,99.1571,32.39,SUCCESS
ZWave7_bookcase_Sensor_power,H12,TFT,ML,0.001,0.0,0.0002,99.981,13.23,SUCCESS
ZWave8_on_desk_Sensor_power,H1,Naive,ML,0.3043,0.2315,-1.3746,25.7277,0.05,SUCCESS
ZWave8_on_desk_Sensor_power,H1,Ridge,ML,0.0019,0.0001,0.9999,0.0107,0.07,SUCCESS
ZWave8_on_desk_Sensor_power,H1,ElasticNet,ML,0.0507,0.05,0.9341,7.7833,1.78,SUCCESS
ZWave8_on_desk_Sensor_power,H1,RandomForest,ML,0.002,0.0,0.9999,0.0035,14.36,SUCCESS
ZWave8_on_desk_Sensor_power,H1,ExtraTrees,ML,0.002,0.0001,0.9999,0.0149,14.39,SUCCESS
ZWave8_on_desk_Sensor_power,H1,KNN,ML,0.0033,0.0001,0.9997,0.0104,55.45,SUCCESS
ZWave8_on_desk_Sensor_power,H1,CatBoost,ML,0.0019,0.0001,0.9999,0.0096,6.61,SUCCESS
ZWave8_on_desk_Sensor_power,H1,LightGBM,ML,0.002,0.0001,0.9999,0.0114,2.39,SUCCESS
ZWave8_on_desk_Sensor_power,H1,XGBoost,ML,0.002,0.0001,0.9999,0.0074,3.65,SUCCESS
ZWave8_on_desk_Sensor_power,H1,NGBoost,ML,0.002,0.0001,0.9999,0.008,206.23,SUCCESS
ZWave8_on_desk_Sensor_power,H1,Prophet,ML,0.3392,0.2646,-1.9502,30.0172,91.26,SUCCESS
ZWave8_on_desk_Sensor_power,H1,SARIMAX,ML,0.6527,0.573,-9.9229,71.7465,4.59,SUCCESS
ZWave8_on_desk_Sensor_power,H1,PatchTST,ML,0.0055,0.0019,0.9992,0.2691,21.27,SUCCESS
ZWave8_on_desk_Sensor_power,H1,TFT,ML,0.0043,0.0015,0.9995,0.2274,30.85,SUCCESS
ZWave8_on_desk_Sensor_power,H5,Naive,ML,0.3043,0.2316,-1.3748,25.7291,0.06,SUCCESS
ZWave8_on_desk_Sensor_power,H5,Ridge,ML,0.0043,0.0004,0.9995,0.0515,0.08,SUCCESS
ZWave8_on_desk_Sensor_power,H5,ElasticNet,ML,0.051,0.0501,0.9334,7.8112,1.78,SUCCESS
ZWave8_on_desk_Sensor_power,H5,RandomForest,ML,0.0044,0.0002,0.9995,0.0234,14.29,SUCCESS
ZWave8_on_desk_Sensor_power,H5,ExtraTrees,ML,0.0044,0.0003,0.9995,0.0399,13.21,SUCCESS
ZWave8_on_desk_Sensor_power,H5,KNN,ML,0.0081,0.0003,0.9983,0.0329,55.4,SUCCESS
ZWave8_on_desk_Sensor_power,H5,CatBoost,ML,0.0042,0.0002,0.9996,0.0332,6.66,SUCCESS
ZWave8_on_desk_Sensor_power,H5,LightGBM,ML,0.0046,0.0004,0.9994,0.0517,2.55,SUCCESS
ZWave8_on_desk_Sensor_power,H5,XGBoost,ML,0.0045,0.0002,0.9995,0.0313,4.54,SUCCESS
ZWave8_on_desk_Sensor_power,H5,NGBoost,ML,0.0044,0.0003,0.9995,0.035,206.47,SUCCESS
ZWave8_on_desk_Sensor_power,H5,Prophet,ML,0.3396,0.265,-1.9562,30.0595,77.41,SUCCESS
ZWave8_on_desk_Sensor_power,H5,SARIMAX,ML,0.6527,0.573,-9.9235,71.7472,4.54,SUCCESS
ZWave8_on_desk_Sensor_power,H5,PatchTST,ML,0.0059,0.0012,0.9991,0.1714,24.02,SUCCESS
ZWave8_on_desk_Sensor_power,H5,TFT,ML,0.0058,0.0017,0.9991,0.2948,30.56,SUCCESS
ZWave8_on_desk_Sensor_power,H12,Naive,ML,0.3044,0.2316,-1.3751,25.7315,0.06,SUCCESS
ZWave8_on_desk_Sensor_power,H12,Ridge,ML,0.0064,0.0008,0.9989,0.1132,0.08,SUCCESS
ZWave8_on_desk_Sensor_power,H12,ElasticNet,ML,0.0513,0.0504,0.9325,7.8538,1.78,SUCCESS
ZWave8_on_desk_Sensor_power,H12,RandomForest,ML,0.0073,0.0004,0.9986,0.0543,14.19,SUCCESS
ZWave8_on_desk_Sensor_power,H12,ExtraTrees,ML,0.0065,0.0006,0.9989,0.0752,13.4,SUCCESS
ZWave8_on_desk_Sensor_power,H12,KNN,ML,0.015,0.0007,0.9942,0.0781,55.39,SUCCESS
ZWave8_on_desk_Sensor_power,H12,CatBoost,ML,0.0066,0.0007,0.9989,0.0916,6.88,SUCCESS
ZWave8_on_desk_Sensor_power,H12,LightGBM,ML,0.0068,0.0009,0.9988,0.1143,2.54,SUCCESS
ZWave8_on_desk_Sensor_power,H12,XGBoost,ML,0.0079,0.0009,0.9984,0.1073,4.77,SUCCESS
ZWave8_on_desk_Sensor_power,H12,NGBoost,ML,0.0061,0.0005,0.9991,0.0663,206.2,SUCCESS
ZWave8_on_desk_Sensor_power,H12,Prophet,ML,0.3389,0.2644,-1.9448,29.9795,83.01,SUCCESS
ZWave8_on_desk_Sensor_power,H12,SARIMAX,ML,0.6528,0.573,-9.9246,71.7484,4.61,SUCCESS
ZWave8_on_desk_Sensor_power,H12,PatchTST,ML,0.0074,0.0023,0.9986,0.3525,29.62,SUCCESS
ZWave8_on_desk_Sensor_power,H12,TFT,ML,0.0067,0.0011,0.9989,0.1544,24.18,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,Naive,ML,49.4409,37.4467,-1.3448,49.2386,0.08,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,Ridge,ML,1.314,0.4863,0.9983,0.87,0.08,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,ElasticNet,ML,1.8065,0.9174,0.9969,1.4524,2.15,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,RandomForest,ML,5.3087,3.2175,0.973,4.0727,44.42,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,ExtraTrees,ML,13.5068,9.1413,0.825,10.8094,16.61,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,KNN,ML,25.6795,19.0204,0.3674,25.2525,73.03,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,CatBoost,ML,33.156,23.8051,-0.0545,28.1938,7.89,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,LightGBM,ML,24.031,15.5505,0.4461,18.3399,3.17,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,XGBoost,ML,40.7017,29.801,-0.5891,36.608,6.37,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,NGBoost,ML,19.6166,13.0793,0.6309,15.4202,638.68,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,Prophet,ML,48.4116,36.0517,-1.2481,45.4656,64.36,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,SARIMAX,ML,64.8974,56.1847,-3.04,99.2771,4.41,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,PatchTST,ML,25.3326,18.3506,0.3844,22.2603,60.67,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,TFT,ML,22.6642,16.0334,0.5073,19.6531,29.28,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,Naive,ML,49.4281,37.4301,-1.3436,49.1918,0.06,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,Ridge,ML,2.452,1.2459,0.9942,2.0052,0.08,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,ElasticNet,ML,2.6305,1.4139,0.9934,2.2018,2.17,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,RandomForest,ML,25.5282,17.4051,0.3749,20.4977,45.42,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,ExtraTrees,ML,26.1121,18.4871,0.3459,22.139,16.34,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,KNN,ML,26.2077,19.4837,0.3411,26.0308,73.23,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,CatBoost,ML,40.3935,29.5219,-0.5651,36.0912,7.63,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,LightGBM,ML,36.6096,25.224,-0.2856,31.0638,3.25,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,XGBoost,ML,43.1378,31.6516,-0.785,38.9531,6.68,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,NGBoost,ML,39.3466,28.4577,-0.4851,34.1262,637.09,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,Prophet,ML,48.4073,36.0475,-1.2478,45.4544,74.69,SUCCESS
