dataset,horizon,model,type,RMSE,MAE,R2,MAPE,time_seconds,status
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,NGBoost,ML,6.481,3.5205,0.3108,5.9995,120.62,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,Prophet,ML,7.8761,5.4559,-0.0179,9.6116,4.63,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,SARIMAX,ML,51.8563,50.3208,-43.1241,93.2974,0.36,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,PatchTST,ML,6.1664,3.771,0.3761,6.5599,20.1,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,TFT,ML,6.3351,3.5692,0.3415,6.0748,15.3,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,Naive,ML,8.0911,1.2814,-0.0108,25.2295,0.01,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,Ridge,ML,1.7114,0.1727,0.9548,4.6403,0.01,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,ElasticNet,ML,1.9033,0.2285,0.9441,6.0939,0.07,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,RandomForest,ML,3.3718,0.9737,0.8245,33.053,9.2,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,ExtraTrees,ML,2.4526,0.5336,0.9071,13.258,1.23,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,KNN,ML,4.2276,2.099,0.7241,92.8744,2.2,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,CatBoost,ML,2.4915,0.5558,0.9042,13.7674,1.73,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,LightGBM,ML,5.0228,1.3513,0.6105,26.3877,1.8,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,XGBoost,ML,5.2594,1.1568,0.5729,35.844,1.8,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,NGBoost,ML,2.5017,0.3083,0.9034,6.965,131.43,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,Prophet,ML,24.5674,22.7389,-8.3186,1107.7738,11.63,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,SARIMAX,ML,8.6316,3.1183,-0.1503,99.7798,0.55,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,PatchTST,ML,3.4931,1.3712,0.8116,55.492,20.45,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,TFT,ML,2.6315,0.6269,0.8931,21.8295,16.09,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,Naive,ML,8.0927,1.2844,-0.0112,25.1945,0.01,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,Ridge,ML,3.6192,0.6681,0.7978,20.4333,0.01,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,ElasticNet,ML,3.7207,0.635,0.7863,18.0422,0.09,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,RandomForest,ML,7.8834,2.3756,0.0405,63.4238,10.17,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,ExtraTrees,ML,5.8992,2.1198,0.4627,68.5085,1.31,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,KNN,ML,11.5419,3.0882,-1.0568,136.8332,2.22,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,CatBoost,ML,7.2639,3.7537,0.1854,172.9016,1.78,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,LightGBM,ML,6.9282,2.9843,0.2589,94.4441,1.84,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,XGBoost,ML,6.6486,2.1972,0.3175,68.2983,1.88,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,NGBoost,ML,4.3439,0.8277,0.7087,19.541,130.54,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,Prophet,ML,24.7879,22.9539,-8.4867,1118.2527,9.96,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,SARIMAX,ML,8.6316,3.1183,-0.1503,99.7813,0.54,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,PatchTST,ML,4.8915,1.0758,0.6306,34.8452,17.55,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,TFT,ML,4.2591,0.9073,0.7199,27.1539,19.19,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,Naive,ML,8.09,1.2793,-0.0105,25.2688,0.02,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,Ridge,ML,5.5284,1.3942,0.5281,46.1904,0.02,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,ElasticNet,ML,5.5926,1.2242,0.5171,37.5757,0.14,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,RandomForest,ML,8.1229,2.871,-0.0187,98.5082,9.11,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,ExtraTrees,ML,7.1062,2.2884,0.2203,73.7409,1.24,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,KNN,ML,14.7757,4.1207,-2.3708,178.9757,2.23,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,CatBoost,ML,13.2897,8.4188,-1.7269,354.9665,1.8,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,LightGBM,ML,9.3848,5.3056,-0.3598,216.8544,1.94,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,XGBoost,ML,9.661,4.3014,-0.441,180.2753,1.91,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,NGBoost,ML,5.9878,1.451,0.4464,45.1572,130.63,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,Prophet,ML,24.5237,22.6984,-8.2855,1105.6614,11.26,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,SARIMAX,ML,8.6316,3.118,-0.1503,99.7787,0.54,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,PatchTST,ML,6.1393,1.6232,0.4181,56.865,17.48,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,TFT,ML,6.2339,2.578,0.4,104.4666,11.97,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,Naive,ML,38.4389,21.8865,-0.2719,3.0584,0.01,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,Ridge,ML,13.215,5.4032,0.8497,0.7651,0.01,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,ElasticNet,ML,13.4111,5.2909,0.8452,0.746,0.13,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,RandomForest,ML,32.544,21.2899,0.0883,3.086,10.25,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,ExtraTrees,ML,17.0702,8.5509,0.7492,1.2249,1.18,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,KNN,ML,34.9371,27.6533,-0.0507,3.9712,1.9,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,CatBoost,ML,18.5767,9.1889,0.7029,1.321,1.63,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,LightGBM,ML,20.3394,11.5067,0.6439,1.656,1.7,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,XGBoost,ML,21.7769,12.3602,0.5918,1.7701,2.22,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,NGBoost,ML,21.321,8.3899,0.6087,1.2173,141.76,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,Prophet,ML,43.9049,29.0737,-0.6594,4.0982,9.51,SUCCESS
